# The German verse number the Unbound export left inline, by the KJV
# address it was found at. Kept for a future 'show German numbering'
# feature; nothing reads it today.
# osis	chapter	verse	germanRef
2Chr	14	1	13:23
Neh	4	1	3:33
Neh	4	2	3:34
Neh	4	3	3:35
Neh	4	4	3:36
Neh	4	5	3:37
Neh	4	6	3:38
Neh	9	38	10:1
Job	41	1	40:25
Job	41	2	40:26
Job	41	3	40:27
Job	41	4	40:28
Job	41	5	40:29
Job	41	6	40:30
Job	41	7	40:31
Job	41	8	40:32
Job	41	9	40:1
Job	41	10	41:2
Job	41	11	41:3
Job	41	12	41:4
Job	41	13	41:5
Job	41	14	41:6
Job	41	15	41:7
Job	41	16	41:8
Job	41	17	41:9
Job	41	18	41:10
Job	41	19	41:11
Job	41	20	41:12
Job	41	21	41:13
Job	41	22	41:14
Job	41	23	41:15
Job	41	24	41:16
Job	41	25	41:17
Job	41	26	41:18
Job	41	27	41:19
Job	41	28	41:20
Job	41	29	41:21
Job	41	30	41:22
Job	41	31	41:23
Job	41	32	41:24
Job	41	33	41:25
Job	41	34	41:26
Eccl	5	1	4:17
Song	6	13	7:1
Isa	9	1	8:23
Jer	9	1	8:23
Ezek	20	45	21:1
Ezek	20	46	21:2
Ezek	20	47	21:3
Ezek	20	48	21:4
Ezek	20	49	21:5
Dan	4	1	3:31
Dan	4	2	3:32
Dan	4	3	3:33
Dan	4	4	4:1
Dan	5	31	6:1
Hos	1	10	2:1
Hos	1	11	2:2
Hos	13	16	14:1
Joel	2	28	3:1
Joel	2	29	3:2
Joel	2	30	3:3
Joel	2	31	3:4
Joel	2	32	3:5
Joel	3	1	4:1
Joel	3	2	4:2
Joel	3	3	4:3
Joel	3	4	4:4
Joel	3	5	4:5
Joel	3	6	4:6
Joel	3	7	4:7
Joel	3	8	4:8
Joel	3	9	4:9
Joel	3	10	4:10
Joel	3	11	4:11
Joel	3	12	4:12
Joel	3	13	4:13
Joel	3	14	4:14
Joel	3	15	4:15
Joel	3	16	4:16
Joel	3	17	4:17
Joel	3	18	4:18
Joel	3	19	4:19
Joel	3	20	4:20
Joel	3	21	4:21
Jonah	1	17	2:1
Mic	5	1	4:14
Nah	1	15	2:1
Zech	1	18	2:1
Zech	1	19	2:2
Zech	1	20	2:3
Zech	1	21	2:4
Mal	4	1	3:19
Mal	4	2	3:20
Mal	4	3	3:21
Mal	4	4	3:22
Mal	4	5	3:23
Mal	4	6	3:24
Acts	19	41	19:40
