# The French verse number a printed Ostervald shows, by the KJV
# address the text sits at here. Generated by
# data-prep/ostervald/build-ostervald.py; read by NumberingSpec (Fr).
# osis	chapter	verse	printedRef
Ps	102	20	102:21
Ps	102	21	102:22
Ps	102	22	102:23
Ps	102	23	102:24
Ps	102	24	102:25
Ps	102	25	102:26
Ps	102	26	102:27
Ps	102	27	102:28
Ps	102	28	102:29
Ps	108	1	108:2
Ps	108	2	108:3
Ps	108	3	108:4
Ps	108	4	108:5
Ps	108	5	108:6
Ps	108	6	108:7
Ps	108	7	108:8
Ps	108	8	108:9
Ps	108	9	108:10
Ps	108	10	108:11
Ps	108	11	108:12
Ps	108	12	108:13
Ps	108	13	108:14
Ps	140	1	140:2
Ps	140	2	140:3
Ps	140	3	140:4
Ps	140	4	140:5
Ps	140	5	140:6
Ps	140	6	140:7
Ps	140	7	140:8
Ps	140	8	140:9
Ps	140	9	140:10
Ps	140	10	140:11
Ps	140	11	140:12
Ps	140	12	140:13
Ps	140	13	140:14
Ps	142	1	142:2
Ps	142	2	142:3
Ps	142	3	142:4
Ps	142	4	142:5
Ps	142	5	142:6
Ps	142	6	142:7
Ps	142	7	142:8
Eccl	11	9	12:1
Eccl	11	10	12:2
Eccl	12	1	12:3
Eccl	12	2	12:4
Eccl	12	3	12:5
Eccl	12	4	12:6
Eccl	12	5	12:7
Eccl	12	6	12:8
Eccl	12	7	12:9
Eccl	12	8	12:10
Eccl	12	9	12:11
Eccl	12	10	12:12
Eccl	12	11	12:13
Eccl	12	12	12:14
Eccl	12	13	12:15
Eccl	12	14	12:16
Isa	9	1	8:23
Isa	9	2	9:1
Isa	9	3	9:2
Isa	9	4	9:3
Isa	9	5	9:4
Isa	9	6	9:5
Isa	9	7	9:6
Isa	9	8	9:7
Isa	9	9	9:8
Isa	9	10	9:9
Isa	9	11	9:10
Isa	9	12	9:11
Isa	9	13	9:12
Isa	9	14	9:13
Isa	9	15	9:14
Isa	9	16	9:15
Isa	9	17	9:16
Isa	9	18	9:17
Isa	9	19	9:18
Isa	9	20	9:19
Isa	9	21	9:20
Ezek	20	45	21:1
Ezek	20	46	21:2
Ezek	20	47	21:3
Ezek	20	48	21:4
Ezek	20	49	21:5
Ezek	21	1	21:6
Ezek	21	2	21:7
Ezek	21	3	21:8
Ezek	21	4	21:9
Ezek	21	5	21:10
Ezek	21	6	21:11
Ezek	21	7	21:12
Ezek	21	8	21:13
Ezek	21	9	21:14
Ezek	21	10	21:15
Ezek	21	11	21:16
Ezek	21	12	21:17
Ezek	21	13	21:18
Ezek	21	14	21:19
Ezek	21	15	21:20
Ezek	21	16	21:21
Ezek	21	17	21:22
Ezek	21	18	21:23
Ezek	21	19	21:24
Ezek	21	20	21:25
Ezek	21	21	21:26
Ezek	21	22	21:27
Ezek	21	23	21:28
Ezek	21	24	21:29
Ezek	21	25	21:30
Ezek	21	26	21:31
Ezek	21	27	21:32
Ezek	21	28	21:33
Ezek	21	29	21:34
Ezek	21	30	21:35
Ezek	21	31	21:36
Ezek	21	32	21:37
Hos	11	12	12:1
Hos	12	1	12:2
Hos	12	2	12:3
Hos	12	3	12:4
Hos	12	4	12:5
Hos	12	5	12:6
Hos	12	6	12:7
Hos	12	7	12:8
Hos	12	8	12:9
Hos	12	9	12:10
Hos	12	10	12:11
Hos	12	11	12:12
Hos	12	12	12:13
Hos	12	13	12:14
Hos	12	14	12:15
Jonah	1	17	2:1
Jonah	2	1	2:2
Jonah	2	2	2:3
Jonah	2	3	2:4
Jonah	2	4	2:5
Jonah	2	5	2:6
Jonah	2	6	2:7
Jonah	2	7	2:8
Jonah	2	8	2:9
Jonah	2	9	2:10
Jonah	2	10	2:11
Luke	10	42	10:41
Acts	19	41	19:40
2Cor	13	13	13:12
2Cor	13	14	13:13
Rev	13	1	12:18
